id;x;y;radius;label;id_image
23695500;5270.0;42647.5;15.8890897914;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583989;4260.0;4928.0;21.633952132;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583975;3819.0;4843.0;14.7809927636;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583952;4029.0;4679.0;19.1329977494;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583934;3760.0;4271.0;11.0171015314;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583920;3851.0;4623.0;33.9784272264;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583904;4318.0;4401.0;14.7809927636;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583883;4968.0;4381.0;18.5139760683;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583827;5298.0;4626.0;23.9960463426;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583724;5156.0;4783.0;34.2771756884;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583686;4607.0;4773.0;39.2431569046;0;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583654;3932.0;4678.0;10.0491427376;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583634;4488.0;4888.0;16.2516251775;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583602;5278.0;4265.0;11.2352831384;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583584;4601.0;4279.0;10.2878729972;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583549;4234.0;4802.0;16.5183059299;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583529;3487.0;4615.0;14.3476335455;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583501;5391.0;4427.0;12.464427523;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583485;4973.0;4552.0;12.1887188832;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583462;3557.0;4903.0;28.0449619268;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
21583368;4614.0;4626.0;29.6439884185;1;NAC_DTM_FECNDITATS3_M150178619_50CM.TIF
